Time,"Time Code","Country Name","Country Code","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP at market prices (current US$) [NY.GDP.MKTP.CD]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GINI index (World Bank estimate) [SI.POV.GINI]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Internet users (per 100 people) [IT.NET.USER.P2]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Adult literacy rate, population 15+ years, both sexes (%) [SE.ADT.LITR.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Population, total [SP.POP.TOTL]"
1966,"YR1966","India","IND","-0.0553287701011413","46669801600","91.7968816968293","110","4.07115508286198","","","","10.8108108108108","13.2707065560506","","6.55670239660929","45.018512195122","","","","41.8141306785001","0.337853982141267","","508402908"
1966,"YR1966","Indonesia","IDN","2.85042825932244","","","","13.3669573550327","","","","1136.2541122077","1195.40944343418","","20.8855543193264","52.2413170731707","","","","50.8090555157681","0.226991957647267","","103067352"
1966,"YR1966","Iran, Islamic Rep.","IRN","11.5024072848281","6789938671.75094","264.976835654377","290","16.2943923545687","","","","-0.388148532154546","-1.73978924473228","","17.6125865151416","48.300756097561","","","","18.5951386508195","2.50389757518639","","25624650"
1966,"YR1966","Iraq","IRQ","","","","","","","","","1.98321891712164","","","","54.8864146341463","","","","","3.20236391229068","","8651167"
1966,"YR1966","Ireland","IRL","","3104034393.23162","1074.50650554958","","34.5363334338156","","","","3.05429864140271","","","40.8799927980129","70.6414146341464","","","","","5.23113645804486","","2888800"
1966,"YR1966","Isle of Man","IMY","","","","","","","","","","","","","","","","","","","","51776"
1966,"YR1966","Israel","ISR","-0.0796448872429636","3980013324.88337","1513.88867435655","1470","19.9413735343384","-36000000","","","7.93036754448438","8.73082055945112","","29.6733668341709","72.2856097560976","","","","","5.17201825789274","","2629000"
1966,"YR1966","Italy","ITA","5.98479422519715","73654870011.2757","1402.44235441032","1410","14.698292555773","","","","3.19148936170212","2.23239628591625","","13.0073132741033","70.9260975609756","","","","","4.07944062148937","","52519000"
1966,"YR1966","Jamaica","JAM","","1096759516.24749","615.077191025579","","37.4521317334695","","","","1.9023986765923","","","35.869287720194","67.0573414634146","","","","","1.97424185068349","","1783125"
1966,"YR1966","Japan","JPN","10.6385615591638","105628070343.111","1058.50356090902","1030","10.5782104657665","","","","5.07966260552164","4.97086914705295","","9.03061242779444","70.9865853658537","","","","","4.20626470588235","","99790000"
1966,"YR1966","Jordan","JOR","","657999736.800105","548.200632180644","","","","","","","","","","57.3032682926829","","","","11.0177404295051","1.31980104808005","","1200290"
1966,"YR1966","Kazakhstan","KAZ","","","","","","","","","","","","","60.852","","","","","","","11872939"
1966,"YR1966","Kenya","KEN","14.728566401776","1164519673.19064","118.556282047262","120","32.4116335162739","","","","5.01439539323416","1.71378886686186","","30.8728022514063","49.9816829268293","","","","37.8761987515155","0.273274892708123","","9822505"
1966,"YR1966","Kiribati","KIR","","","","","","","","","","","","","52.3078048780488","","","","","0.23179031204568","","47461"
1966,"YR1966","Korea, Dem. People’s Rep.","PRK","","","","","","","","","","","","","55.0412195121951","","","","","","","12864683"
1966,"YR1966","Korea, Rep.","KOR","12.6999998765541","3806043708.63124","129.300828192911","130","10.0205628111246","","","","","13.9897279985832","","20.1285177227631","57.6577073170732","","","","36.5282583979892","1.01966409960248","","29435571"
1966,"YR1966","Kosovo","KSV","","","","","","","","","","","","","","","","","","","","1106000"
1966,"YR1966","Kuwait","KWT","12.3155611217848","2391198945.30343","4481.92094651088","","65.6908665105386","","","","","1.51637978743975","","24.3559718969555","64.2792926829269","","","","","65.8865574176087","","533521"
1966,"YR1966","Kyrgyz Republic","KGZ","","","","","","","","","","","","","58.7382926829268","","","","","","","2655300"
1966,"YR1966","Lao PDR","LAO","","","","","","","","","","","","","45.011756097561","","","","","0.096281189910922","","2437527"
1966,"YR1966","Latvia","LVA","","","","","","","","","","","","","70.7073170731707","","","","","","","2283217"
1966,"YR1966","Lebanon","LBN","","","","","","","","","","","","","64.9880487804878","","","","","1.69908360790774","","2136640"
1966,"YR1966","Lesotho","LSO","-0.405521491836353","56698866.0226795","59.5741529401846","80","10.8641975308642","","","","","3.73700237021023","","56.5432098765432","48.282756097561","","","","57.9289405684755","","","951736"
1966,"YR1966","Liberia","LBR","7.70265598085076","244459500","190.492276187092","210","67.9867217269118","","","","","-0.996464852859972","","53.3421691527636","37.0961951219512","","","","","0.47719714112946","","1283304"
1966,"YR1966","Libya","LBY","","","","","","","","","12.2429137683409","","","","51.6295365853659","","","","","1.4712486290485","","1787080"
1966,"YR1966","Liechtenstein","LIE","","","","","","","","","","","","","","","","","","","","19156"
1966,"YR1966","Lithuania","LTU","","","","","","","","","","","","","71.520243902439","","","","","","","3008050"
1966,"YR1966","Luxembourg","LUX","1.10590411235914","968440149.470951","2900.43321843978","2020","79.463225452284","","","","3.31499999941698","3.9329982401422","","70.6234852420669","69.6744634146341","","","","","34.8035250602734","","333895"
1966,"YR1966","Macao SAR, China","MAC","","","","","","","","","","","","","67.3942682926829","","","","","0.693249044371591","","216873"
1966,"YR1966","Macedonia, FYR","MKD","","","","","","","","","","","","","64.2047317073171","","","","","","","1617797"
1966,"YR1966","Madagascar","MDG","2.06455240687127","900264583.687729","152.121570867434","150","17.2947153056537","","","","3.21157397897561","5.81727051385286","","23.198066834476","42.8428292682927","","","","25.0168795961789","0.0979013392902404","","5918060"
1966,"YR1966","Malawi","MWI","13.2490363487393","260400208.476282","62.6243246910589","60","21.505376344086","","","","","0.207326493423452","","37.3118279569892","39.0860487804878","","","","47.3130193905817","0.103180707105979","","4158132"
1966,"YR1966","Malaysia","MYS","7.81671111481472","3143518015.04196","319.329639659057","320","43.3970892653019","","","","0.967969025261196","-1.37754100152985","","39.2100883300426","62.6763658536586","","","","31.5412355814195","","","9844116"
1966,"YR1966","Maldives","MDV","","","","","","","","","","","","","41.1980975609756","","","","","","","105145"
1966,"YR1966","Mali","MLI","","","","","","","","","","","","","29.9709756097561","","","","","0.0338340614979899","","5635859"
1966,"YR1966","Malta","MLT","","","","","","","","","0.523123578699556","","","","69.3663658536586","","","","","1.3146288071066","","315200"
1966,"YR1966","Marshall Islands","MHL","","","","","","","","","","","","","","","","","","","","17840"
1966,"YR1966","Mauritania","MRT","0.230962003069351","180340653.822049","176.479287022008","","42.9981580070535","","","","","4.14307888367813","","21.0536019947436","47.1646829268293","","","","31.7260615761228","0.175835714565311","","1021880"
1966,"YR1966","Mauritius","MUS","","","","","","","","","2.50489556095825","","","","62.6387073170732","","","","","0.357726781414986","","768813"
1966,"YR1966","Mexico","MEX","6.09613930067485","24337233447.211","528.944277106048","510","7.46572931909616","","","","4.21578837738409","5.08084453696176","","9.00746575032493","59.7932195121951","","","","12.5967331531588","1.75894377685108","","46010959"
1966,"YR1966","Micronesia, Fed. Sts.","FSM","","","","","","","","","","","","","59.9815853658537","","","","","","","54201"
1966,"YR1966","Moldova","MDA","","","","","","","","","","","","","63.9584146341464","","","","","","","2873000"
1966,"YR1966","Monaco","MCO","","","","","","","","","","","","","","","","","","","","23304"
1966,"YR1966","Mongolia","MNG","","","","","","","","","","","","","53.0752926829268","","","","","1.71454349275413","","1139960"
1966,"YR1966","Montenegro","MNE","","","","","","","","","","","","","67.4471707317073","","","","","","","526419"
1966,"YR1966","Morocco","MAR","","2876395613.08171","196.023866990455","","18.9612530915087","","","","-1.01357936469653","","","19.3734542456719","50.9780487804878","","","","","0.374048587142286","","14617077"
1966,"YR1966","Mozambique","MOZ","","","","","","","","","","","","","37.5476829268293","","","","","0.250738796796604","","8482373"
1966,"YR1966","Myanmar","MMR","-4.85177870382341","","","","13.7779589398187","","","","25.4901960784313","3.55521125661321","","13.6847746764576","47.9766829268293","","","","34.3983052178661","0.114151974593429","","24606863"
1966,"YR1966","Namibia","NAM","","","","","","","","","","","","","50.3647804878049","","","","","","","700316"
1966,"YR1966","Nepal","NPL","7.04064314274792","906811948.818919","81.6898246177276","70","5.64481095253116","","","","14.3889706868657","15.2188135101377","","8.75669391354193","38.0923658536585","","","","70.5095789478657","0.0171776987915687","","11100672"
1966,"YR1966","Netherlands","NLD","2.74110433455456","22867203317.4022","1835.80142351034","1840","41.6514807868452","","","","5.7968700101625","5.98328850962201","","42.5573450516858","73.5129268292683","","","","","8.32153181563217","","12456251"
1966,"YR1966","New Caledonia","NCL","-3.84857770117728","164206537.561675","1756.21965306604","","","","","","","7.00814312701958","","","61.2341463414634","","","","","16.1583315508021","","93500"
1966,"YR1966","New Zealand","NZL","","5863733230.97616","2191.31254193959","","","","","","2.77372262773723","","","","71.1243902439025","","","","","5.23759258567211","","2675900"
1966,"YR1966","Nicaragua","NIC","3.30113639774522","607140010.475682","285.681621956596","230","27.115170431526","","","","","3.66106680541182","","34.1206090529056","50.9412926829268","","","","","0.452069961270129","","2125233"
1966,"YR1966","Niger","NER","-0.382497198405858","702296079.857695","174.171503929035","170","12.4527143653732","","","","10.5714285704762","4.95788513689656","","16.0857536751188","35.8996585365854","","","","66.8747343850565","0.0336487930936137","","4032210"
1966,"YR1966","Nigeria","NGA","-4.25051418779017","6366792664.14672","124.02107987069","110","10.4138264655438","","","","9.69034608375119","13.1928714934637","","14.6224548133163","39.6511219512195","","","","","0.251436530140665","","51336375"
1966,"YR1966","Northern Mariana Islands","MNP","","","","","","","","","","","","","","","","","","","","11489"
